Zone,Distance (KM),Rate (KES/ton),VAT,Total (KES/MT)
A,<15,628.23,100.52,728.75
B,16-29,626.23,100.20,726.43
C,30-59,1010.83,161.73,1172.56
D,60-99,1292.07,206.73,1498.80
E,100-139,1613.49,258.16,1871.64
F,140-199,1861.76,297.88,2159.64
G,200-259,2602.68,416.43,3019.11
H,260-300,2757.73,441.24,3198.96
I,301-400,2779.78,444.76,3224.54
J,401-500,2802.20,448.35,3250.55
K,501-600,3158.84,505.41,3664.25
L,>600,3464.53,554.33,4018.86
M,NKR-KSM Depot,2047.93,327.67,2375.60
N,NAKURU-SAGANA,2603.00,416.48,3019.48
O,ELD-KISII,2602.68,416.43,3019.11
P,ELD-KSM,1803.31,288.53,2091.84
Q,ELD-MIGORI,3082.17,493.15,3575.31
R,ELD-BONDO/BUSIA,2080.79,332.93,2413.72
S,NRB-KSM Depot,3057.45,489.19,3546.64
T,NRB-KAKAMEGA,3057.45,489.19,3546.64
U,NRB-ELD,2780.00,444.80,3224.80
V,NRB-SAGANA DEPOT,1292.00,206.72,1498.72
W,NRB-MWINGI,2190.30,350.45,2540.75
X,NRB-NYERI,2080.79,332.93,2413.72
Y,NRB-NANYUKI,2190.30,350.45,2540.75
Z,NRB-EMBU,1803.31,288.53,2091.84
AA,NRB-MAUA,3244.38,519.10,3763.49
AB,NRB-GARISSA,2967.03,474.72,3441.75
NAKURU,ELDORET,1023.96,163.83,1187.80
NAKURU,NAIROBI,1023.96,163.83,1187.80
ELDORET,NAIROBI,1528.87,244.62,1773.49
